"NYC_extract.DBA","NYC_extract.TripAdvisor.URL","NYC_extract.INSPECTION.DATE","NYC_extract.VIOLATION.DESCRIPTION","NYC_extract.SCORE","NYC_extract.GRADE","NYC_initial.Latitude","NYC_initial.Longitude","NYC_list_URL_final$NYC_extract.DBA"
"289108","PEPPER LUNCH","https://www.tripadvisor.com/Restaurant_Review-g60763-d16805706-Reviews-Pepper_Lunch-New_York_City_New_York.html","07/30/2018","Hot food item not held at or above 140Âº F.",10,"A",40.743826151871,-73.999556112616,"PEPPER LUNCH"
"289214","D NAPOLI PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3800560-Reviews-D_Napoli_Pizza-New_York_City_New_York.html","07/30/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3,"A",40.736195559538,-73.994103832497,"D NAPOLI PIZZA"
"289291","DOMINO'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4417805-Reviews-Domino_s_Pizza-New_York_City_New_York.html","07/30/2019","Evidence of rats or live rats present in facility's food and/or non-food areas.",11,"A",40.798096198339,-73.939892520161,"DOMINO'S PIZZA"
"289657","MIKES PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d6720955-Reviews-Mike_s_Pizza-New_York_City_New_York.html","07/30/2019","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",31,"C",40.708761649747,-74.005136275218,"MIKES PIZZA"
"289870","BOBBY VAN'S GRILL","https://www.tripadvisor.com/Restaurant_Review-g60763-d1169062-Reviews-Bobby_Van_s_Steakhouse_50th_Street-New_York_City_New_York.html","07/30/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",12,"A",40.734718757472,-73.992122982071,"BOBBY VAN'S GRILL"
"289958","STRIP HOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d423307-Reviews-Strip_House-New_York_City_New_York.html","07/30/2019","Proper sanitization not provided for utensil ware washing operation.",12,"A",40.756282459109,-73.977718445279,"STRIP HOUSE"
"291610","BROADWAY PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d5066586-Reviews-Broadway_Pizza_and_Restaurant-New_York_City_New_York.html","07/31/2018","Food Protection Certificate not held by supervisor of food operations.",12,"A",40.721691783672,-73.988408661221,"BROADWAY PIZZA"
"291695","IPIZZA NY","https://www.tripadvisor.com/Restaurant_Review-g60763-d15140731-Reviews-IPizzaNY-New_York_City_New_York.html","07/31/2019","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",44,"",40.742000851027,-73.997181573069,"IPIZZA NY"
"291953","BOBBY VAN'S / LEA WINE BAR","https://www.tripadvisor.com/Restaurant_Review-g60763-d457159-Reviews-Bobby_Van_s_Steak_House-New_York_City_New_York.html","08/13/2018","Hot food item not held at or above 140Âº F.",13,"A",40.782776276565,-73.948146615073,"BOBBY VAN'S / LEA WINE BAR"
"292015","CONNOLLY'S PUB","https://www.tripadvisor.com/Restaurant_Review-g60763-d5065998-Reviews-Connolly_s_Pub_Restaurant-New_York_City_New_York.html","08/13/2018","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",11,"A",40.789210236622,-73.948726617051,"CONNOLLY'S PUB"
"292093","MORTON'S THE STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d7089644-Reviews-Morton_s_The_Steakhouse-New_York_City_New_York.html","08/13/2018","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",12,"A",40.764543312635,-73.99187396337,"MORTON'S THE STEAKHOUSE"
"292249","LOMBARDI'S","https://www.tripadvisor.com/Restaurant_Review-g60763-d15756923-Reviews-Lombardi_s_Chelsea-New_York_City_New_York.html","08/13/2018","Food Protection Certificate not held by supervisor of food operations.",12,"A",40.758751603856,-73.988694568973,"LOMBARDI'S"
"292392","LITTLE CAESARS","https://www.tripadvisor.com/Restaurant_Review-g60763-d5099943-Reviews-Little_Caesars-New_York_City_New_York.html","08/13/2018","Evidence of mice or live mice present in facility's food and/or non-food areas.",6,"",40.721181177899,-73.98765115235,"LITTLE CAESARS"
"292668","BOCCE","https://www.tripadvisor.com/Restaurant_Review-g60763-d14153226-Reviews-Bocce_USQ-New_York_City_New_York.html","08/13/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",20,"",40.764324766383,-73.958543269375,"BOCCE"
"293648","PQR","https://www.tripadvisor.com/Restaurant_Review-g60763-d13951507-Reviews-PQR_Roman_Pizzeria-New_York_City_New_York.html","08/14/2018","Evidence of mice or live mice present in facility's food and/or non-food areas.",28,"",40.729339283726,-74.00105355146,"PQR"
"293943","LA TRAVIATA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d425631-Reviews-La_Traviata_Pizzeria-New_York_City_New_York.html","08/14/2019","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",9,"A",40.752093933162,-73.977604354379,"LA TRAVIATA PIZZA"
"294356","IL MATTONE","https://www.tripadvisor.com/Restaurant_Review-g60763-d15167761-Reviews-Il_Mattone_West_Village-New_York_City_New_York.html","08/15/2019","Hot food item not held at or above 140Âº F.",19,"",40.717901024793,-73.986280938511,"IL MATTONE"
"295052","CHUCK E. CHEESE'S","https://www.tripadvisor.com/Restaurant_Review-g60763-d4625380-Reviews-Chuck_E_Cheese-New_York_City_New_York.html","08/16/2016","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",33,"",40.758900702636,-73.965571058131,"CHUCK E. CHEESE'S"
"295232","GOTHAM PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4277156-Reviews-Gotham_Pizza-New_York_City_New_York.html","08/16/2017","Evidence of mice or live mice present in facility's food and/or non-food areas.",13,"A",40.714838403799,-74.008015342742,"GOTHAM PIZZA"
"295272","RAY'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d459126-Reviews-Famous_Original_Ray_s_Pizza-New_York_City_New_York.html","08/16/2017","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",5,"A",40.75327583548,-73.98896981282,"RAY'S PIZZA"
"295348","LA CROSTA RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g60763-d2285056-Reviews-La_Crosta_Restaurant_Gourmet_Pizzeria-New_York_City_New_York.html","08/16/2017","Hot food item not held at or above 140Âº F.",23,"",40.708939570827,-74.01176945996,"LA CROSTA RESTAURANT"
"295724","10TH AVENUE PIZZA & CAFE","https://www.tripadvisor.com/Restaurant_Review-g60763-d2562411-Reviews-10th_Ave_Pizza-New_York_City_New_York.html","08/16/2019","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",19,"",40.742000851027,-73.997181573069,"10TH AVENUE PIZZA & CAFE"
"295948","RIVOLI PIZZA RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g60763-d4811705-Reviews-Rivoli_Pizza-New_York_City_New_York.html","08/16/2019","Hot food item not held at or above 140Âº F.",23,"",40.744401010383,-73.981186951273,"RIVOLI PIZZA RESTAURANT"
"296036","PAPI'S PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d10403240-Reviews-Papi_s_Pizza-New_York_City_New_York.html","08/17/2016","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",9,"",40.75132740329,-73.993528617509,"PAPI'S PIZZERIA"
"296224","LITTLE ITALY PIZZA III","https://www.tripadvisor.com/Restaurant_Review-g60763-d7992789-Reviews-Little_Italy_Pizza-New_York_City_New_York.html","08/17/2017","Evidence of mice or live mice present in facility's food and/or non-food areas.",72,"",40.759190398067,-73.970981812748,"LITTLE ITALY PIZZA III"
"296243","FREDDIE & PEPPER'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d459326-Reviews-Freddie_and_Pepper_s-New_York_City_New_York.html","08/17/2017","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",18,"",40.810857068175,-73.952795602284,"FREDDIE & PEPPER'S PIZZA"
"51730","ROCKY'S BAR & RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g60763-d6996163-Reviews-Rocky_s_Bar_and_Restaurant-New_York_City_New_York.html","04/05/2018","Hot food item not held at or above 140Âº F.",13,"A",40.756918006477,-73.972065672336,"ROCKY'S BAR & RESTAURANT"
"51977","MY PIE","https://www.tripadvisor.com/Restaurant_Review-g60763-d8099295-Reviews-My_Pie_Pizzeria_Romana-New_York_City_New_York.html","06/05/2018","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",26,"",40.760321181528,-73.961462439211,"MY PIE"
"52062","OVEST PIZZOTECA","https://www.tripadvisor.com/Restaurant_Review-g60763-d2545991-Reviews-Ovest_Pizzoteca-New_York_City_New_York.html","06/05/2018","Food contact surface not properly maintained.",6,"A",40.798096198339,-73.939892520161,"OVEST PIZZOTECA"
"52131","TUSCANY STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d13441221-Reviews-Tuscany_Steakhouse-New_York_City_New_York.html","06/05/2018","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",9,"A",40.727746426494,-73.985647509709,"TUSCANY STEAKHOUSE"
"52294","PRONTO PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3191946-Reviews-Pronto_Pizza-New_York_City_New_York.html","07/05/2018","Wiping cloths soiled or not stored in sanitizing solution.",12,"A",0,0,"PRONTO PIZZA"
"52351","BIG NICK'S PIZZA / GYROSHOP","https://www.tripadvisor.com/Restaurant_Review-g60763-d2302311-Reviews-Big_Nick_s_Pizza_Joint-New_York_City_New_York.html","07/05/2018","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",12,"A",40.739783110779,-73.99879111207,"BIG NICK'S PIZZA / GYROSHOP"
"52437","SFILA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d14783977-Reviews-Sfila_Pizza-New_York_City_New_York.html","07/05/2018","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2,"A",40.75915932796,-73.95200576572,"SFILA PIZZA"
"52529","SIMO PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d14920260-Reviews-Simo-New_York_City_New_York.html","09/05/2018","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2,"A",40.734109173999,-73.989117330313,"SIMO PIZZA"
"52602","BENVENUTI","https://www.tripadvisor.com/Restaurant_Review-g60763-d6514500-Reviews-Benvenuti-New_York_City_New_York.html","09/05/2018","",0,"A",40.711890801265,-73.999570754526,"BENVENUTI"
"53357","SOFIA PIZZA SHOPPE","https://www.tripadvisor.com/Restaurant_Review-g60763-d11882563-Reviews-Sofia_Pizza_Shoppe-New_York_City_New_York.html","12/05/2018","Evidence of mice or live mice present in facility's food and/or non-food areas.",7,"",40.770914609314,-73.950787805897,"SOFIA PIZZA SHOPPE"
"53436","BAR 314","https://www.tripadvisor.com/Restaurant_Review-g60763-d15675033-Reviews-Bar314-New_York_City_New_York.html","12/05/2018","Hot food item not held at or above 140Âº F.",9,"A",40.770914609314,-73.950787805897,"BAR 314"
"53503","VILLAGE PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4255652-Reviews-Village_Pizza-New_York_City_New_York.html","12/05/2018","Thawing procedures improper.",11,"A",40.783606229458,-73.950496730836,"VILLAGE PIZZA"
"53794","212 STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d6844693-Reviews-212_Steakhouse-New_York_City_New_York.html","02/06/2018","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",28,"",40.777161524498,-73.957271517721,"212 STEAKHOUSE"
"55370","CASA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d6652779-Reviews-Casa_Pizza_Restaurant-New_York_City_New_York.html","08/06/2018","Live roaches present in facility's food and/or non-food areas.",14,"",40.743735417281,-74.006026755433,"CASA PIZZA"
"56731","MAMA'S TOO!","https://www.tripadvisor.com/Restaurant_Review-g60763-d14995627-Reviews-Mama_s_Too-New_York_City_New_York.html","09/06/2018","Food Protection Certificate not held by supervisor of food operations.",13,"A",40.790834819164,-73.942289847663,"MAMA'S TOO!"
"57443","SALVO'S","https://www.tripadvisor.com/Restaurant_Review-g60763-d4846994-Reviews-Salvo_s-New_York_City_New_York.html","12/06/2018","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",8,"A",40.722927389298,-73.994638951146,"SALVO'S"
"57489","ROCCO'S STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d8609422-Reviews-Rocco_Steakhouse-New_York_City_New_York.html","02/07/2018","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3,"A",40.776072959096,-73.95306587535,"ROCCO'S STEAKHOUSE"
"57853","MAMMA'S FAMOUS PIZZA & BURGERS","https://www.tripadvisor.com/Restaurant_Review-g60763-d19266332-Reviews-Mamma_s_Famous_Pizza-New_York_City_New_York.html","02/07/2018","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",13,"A",40.753321377383,-73.980545566087,"MAMMA'S FAMOUS PIZZA & BURGERS"
"58374","GINO'S PIZZERIA RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g60763-d4039253-Reviews-Gino_s_Pizzeria_Restaurant-New_York_City_New_York.html","03/07/2018","Hot food item not held at or above 140Âº F.",7,"A",40.759190398067,-73.970981812748,"GINO'S PIZZERIA RESTAURANT"
"58376","FDR 99Â¢ SLICE PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d15166392-Reviews-Fdr_99c_Slice_Pizza-New_York_City_New_York.html","05/07/2018","Single service item reused, improperly stored, dispensed; not used when required.",2,"A",40.750638602074,-74.003345738593,"FDR 99Â¢ SLICE PIZZA"
"58518","FAMOUS FAMIGLIA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d555118-Reviews-Famous_Famiglia_Pizza-New_York_City_New_York.html","06/07/2018","Evidence of mice or live mice present in facility's food and/or non-food areas.",33,"",40.762687265522,-73.985798785463,"FAMOUS FAMIGLIA PIZZA"
"59483","MAMA'S PIZZA CAFE","https://www.tripadvisor.com/Restaurant_Review-g60763-d5065362-Reviews-Mama_s_Pizza-New_York_City_New_York.html","09/07/2018","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",22,"",40.744913764321,-73.978263597117,"MAMA'S PIZZA CAFE"
"59629","UNDERGROUND PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3734926-Reviews-Underground_Pizza-New_York_City_New_York.html","09/07/2018","Hot food item not held at or above 140Âº F.",12,"A",40.738345961988,-73.980578823834,"UNDERGROUND PIZZA"
"60278","NEW TIMES SQUARE PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d19667382-Reviews-New_Times_Square_Pizza-New_York_City_New_York.html","11/07/2018","Hot food item not held at or above 140Âº F.",12,"A",40.7385665099,-73.987536052573,"NEW TIMES SQUARE PIZZA"
"60472","4 CHARLES RIB PRIME RIB","https://www.tripadvisor.com/Restaurant_Review-g60763-d10694759-Reviews-4_Charles_Prime_Rib-New_York_City_New_York.html","11/07/2018","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",12,"A",40.728086685371,-73.984929447145,"4 CHARLES RIB PRIME RIB"
"60673","WILLIAMSBURG PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d12722586-Reviews-Williamsburg_Pizza-New_York_City_New_York.html","12/07/2018","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",21,"",40.754322110364,-73.99857789193,"WILLIAMSBURG PIZZA"
"61023","PATSY'S PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4609847-Reviews-Patsy_s_Pizzeria-New_York_City_New_York.html","01/08/2018","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40,"",40.703461174447,-74.010030085186,"PATSY'S PIZZERIA"
"61971","SOLO PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d2462487-Reviews-Solo_Pizza_NYC-New_York_City_New_York.html","03/08/2018","Wiping cloths soiled or not stored in sanitizing solution.",21,"",40.765667782599,-73.983624910245,"SOLO PIZZA"
"62426","ARTICHOKE BASILLE'S PIZZA & BAR","https://www.tripadvisor.com/Restaurant_Review-g60763-d7715977-Reviews-Artichoke_Basille_s_Pizza-New_York_City_New_York.html","06/08/2018","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",34,"",40.722927389298,-73.994638951146,"ARTICHOKE BASILLE'S PIZZA & BAR"
"62429","CUT BY WOLFGANG PUCK","https://www.tripadvisor.com/Restaurant_Review-g60763-d11678193-Reviews-Cut_by_Wolfgang_Puck-New_York_City_New_York.html","06/08/2018","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",23,"",40.811587862688,-73.954511033458,"CUT BY WOLFGANG PUCK"
"62724","PEPO'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d15171260-Reviews-Pepo_s_Pizza-New_York_City_New_York.html","06/08/2018","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",5,"A",40.724693651708,-73.981495591299,"PEPO'S PIZZA"
"62805","FRANK'S TRATTORIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d533219-Reviews-Frank_s_Trattoria-New_York_City_New_York.html","08/08/2018","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",38,"",40.731408835598,-74.001176261932,"FRANK'S TRATTORIA"
"63010","LEXINGTON PIZZA PARLOR","https://www.tripadvisor.com/Restaurant_Review-g60763-d4420772-Reviews-Lexington_pizza_parlor-New_York_City_New_York.html","08/08/2018","Hot food item not held at or above 140Âº F.",25,"",40.777634732869,-73.982379882195,"LEXINGTON PIZZA PARLOR"
"63911","DYCKMAN PALACE PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4248073-Reviews-Pizza_Palace-New_York_City_New_York.html","03/09/2018","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",9,"A",40.850541202932,-73.937054432565,"DYCKMAN PALACE PIZZA"
"63983","PIZZA HUT","https://www.tripadvisor.com/Restaurant_Review-g60763-d4797783-Reviews-Pizza_Hut-New_York_City_New_York.html","03/09/2018","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10,"A",40.789041582945,-73.940500202416,"PIZZA HUT"
"64269","YANKEE PIZZA RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g60763-d12179676-Reviews-Yankee_Pizza-New_York_City_New_York.html","05/09/2018","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10,"A",40.719454388342,-73.984888116429,"YANKEE PIZZA RESTAURANT"
"200339","BARDOLINO PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d12437174-Reviews-Bardolino_Pizza-New_York_City_New_York.html","03/15/2018","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",30,"",40.720402277551,-73.996572811102,"BARDOLINO PIZZA"
"200394","FAMOUS CALABRIA PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d15166330-Reviews-Famous_Calabria_Pizza-New_York_City_New_York.html","03/15/2019","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",13,"A",40.742313468454,-73.991429199103,"FAMOUS CALABRIA PIZZERIA"
"208319","BLEECKER SREET PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d479337-Reviews-Bleecker_Street_Pizza-New_York_City_New_York.html","03/25/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10,"A",40.764543312635,-73.99187396337,"BLEECKER SREET PIZZA"
"356603","LAZZARAS PIZZA CAFE","https://www.tripadvisor.com/Restaurant_Review-g60763-d424527-Reviews-Lazzara_s_Pizza_Cafe-New_York_City_New_York.html","10/30/2017","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",12,"A",40.731995117718,-73.984087849803,"LAZZARAS PIZZA CAFE"
"356751","CLINTON SQUARE PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4464233-Reviews-Clinton_Street_Pizza-New_York_City_New_York.html","10/30/2018","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",4,"A",40.731078174866,-73.982763879463,"CLINTON SQUARE PIZZA"
"356876","LA MIA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4726582-Reviews-La_Mia_Pizza-New_York_City_New_York.html","10/30/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",35,"",40.77442530508,-73.951146252048,"LA MIA PIZZA"
"357458","PIZZA ITALIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d1917218-Reviews-Pizza_Italia-New_York_City_New_York.html","10/31/2016","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",51,"",40.797342174689,-73.969802133466,"PIZZA ITALIA"
"359596","DOUGH BOYS PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d3792166-Reviews-Dough_Boys_Pizza-New_York_City_New_York.html","11/13/2018","Hot food item not held at or above 140Âº F.",17,"",40.810857068175,-73.952795602284,"DOUGH BOYS PIZZA"
"359668","CAFE AMORE'S RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g60763-d459679-Reviews-Cafe_Amore_Pizzeria_Ristorante-New_York_City_New_York.html","11/13/2018","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",6,"A",40.728803451759,-73.988194546018,"CAFE AMORE'S RESTAURANT"
"360561","GRANDPA'S BRICK OVEN PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d2256299-Reviews-Grandpa_s_Brick_Oven_Pizza-New_York_City_New_York.html","11/13/2019","Food contact surface not properly maintained.",29,"",40.764514788457,-73.982303947291,"GRANDPA'S BRICK OVEN PIZZA"
"361486","MAMA TINA'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4916292-Reviews-Mama_Tina_s_Pizza-New_York_City_New_York.html","11/13/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",11,"A",40.730521459165,-73.986256681523,"MAMA TINA'S PIZZA"
"361938","KORONET PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d15850772-Reviews-Koronet_Pizza-New_York_City_New_York.html","11/14/2018","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",45,"",40.758215251503,-73.980356430819,"KORONET PIZZA"
"362159","CHEESY PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d7079166-Reviews-Cheesy_Pizza-New_York_City_New_York.html","11/14/2018","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",7,"A",40.720402277551,-73.996572811102,"CHEESY PIZZA"
"362539","FAMOUS FAMIGLIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4294262-Reviews-Famous_Famiglia_Pizzeria-New_York_City_New_York.html","11/14/2019","Evidence of mice or live mice present in facility's food and/or non-food areas.",20,"",40.782528748221,-73.953379070553,"FAMOUS FAMIGLIA"
"362597","GARLIC PIZZA BAR","https://www.tripadvisor.com/Restaurant_Review-g60763-d2658794-Reviews-Garlic_New_York_Pizza_Bar-New_York_City_New_York.html","11/14/2019","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",7,"A",40.759480578937,-73.968104761178,"GARLIC PIZZA BAR"
"362621","8 SLICES","https://www.tripadvisor.com/Restaurant_Review-g60763-d19667433-Reviews-8_Slices_Pizza-New_York_City_New_York.html","11/14/2019","Hot food item not held at or above 140Âº F.",10,"A",40.77072327824,-73.959903965837,"8 SLICES"
"363257","MAMA'S PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d5259539-Reviews-Mama_Pizzeria-New_York_City_New_York.html","11/14/2019","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10,"",40.75868844414,-73.962654571741,"MAMA'S PIZZERIA"
"363707","IL BARETTO TO GO","https://www.tripadvisor.com/Restaurant_Review-g60763-d14784274-Reviews-IL_Baretto_to_Go-New_York_City_New_York.html","11/14/2019","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3,"A",40.778919615406,-73.95391960899,"IL BARETTO TO GO"
"365509","MJ PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d19664925-Reviews-MJ_s_Pizza_Wings-New_York_City_New_York.html","11/15/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10,"A",40.753866018844,-73.989612185526,"MJ PIZZA"
"366188","SOTTOCASA PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d10165896-Reviews-SottoCasa_Pizzeria-New_York_City_New_York.html","11/16/2016","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10,"A",40.759791039418,-73.982171647892,"SOTTOCASA PIZZERIA"
"367443","2 BROS PIZZA/ CORVO COFFEE","https://www.tripadvisor.com/Restaurant_Review-g60763-d2200990-Reviews-2_Bros_Pizza-New_York_City_New_York.html","11/19/2018","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",21,"",40.770914609314,-73.950787805897,"2 BROS PIZZA/ CORVO COFFEE"
"368484","PROTO PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4328701-Reviews-Proto_s_Pizza-New_York_City_New_York.html","11/19/2018","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",12,"A",40.735946773195,-73.979071209521,"PROTO PIZZA"
